Centre Name,Total,Aggregate,
0181-MADHAVA NAGAR 09,10,0.00073757,
0018-ASHTA MISSALWADI-01,4,0.00029503,
0277-TORANA NAGAR 01,13,0.00095884,
0622-BHOGILAL NI CHALI-5,1,0.00007376,
0398-GANESH CHOKADI-C,1,0.00007376,
0273-HARDAS NAGAR-03,2,0.00014751,
0319-DATTAWAD 05,2,0.00014751,
0313-PANGHAT SOC,2,0.00014751,
0252-SHIVAJI NAGAR 21,7,0.0005163,
0315-VASUDEV DHANJI NA CHHAPRA-6,1,0.00007376,
0108-KALAMWADI 03,2,0.00014751,
0456-AMCHADI-3,1,0.00007376,
0156-LUNIYAWAS-A,1,0.00007376,
0441-GAUTAM NAGAR-24,3,0.00022127,
0286-ERAL-2,1,0.00007376,
0205-SIDDHNATHPURA-2,12,0.00088509,
0463-LBC PANHALGAD-04,1,0.00007376,
0250-BHABROO-A,5,0.00036879,
0430-SANTOKBAI NI CHALI PATNI NAGAR,4,0.00029503,
0481-GANESH KUMBHAR NI CHALI,10,0.00073757,
0015-RETHARE DHARAN-01,9,0.00066381,
0375-SN HOLY ALI SCHOOL-01,2,0.00014751,
0207-THAKOR WAS VATVA,1,0.00007376,
0072-RUKADI 08,1,0.00007376,
0011-BHAISAVA-1,7,0.0005163,
0213-MAHADA COLONY 01,1,0.00007376,
0272-KHIRAVA -D,2,0.00014751,
0472-SUBHASH TEKDI-24,1,0.00007376,
0220-TUNG 03,3,0.00022127,
0264-NANDIVALI - 14,1,0.00007376,
0361-METAL NAGAR-5,7,0.0005163,
0512-SHAKTI NAGAR-1,7,0.0005163,
0465-TORNA NEW,6,0.00044254,
0356-UMLAV-3,1,0.00007376,
0198-VASGADE 01,1,0.00007376,
0083-GANESHPURA-1,2,0.00014751,
0137-ASHALE PADA-3,4,0.00029503,
0328-BHASKAR NAGAR 11,3,0.00022127,
0543-ANAND FLAT BAPU NAGAR,4,0.00029503,
0280-MOTA KARADA,9,0.00066381,
0025-LOKMANYA NAGAR 4-2,1,0.00007376,
0191-DHANI CHANDODA,14,0.0010326,
0283-LANE BAZAR 06,3,0.00022127,
0044-WALWA 03,12,0.00088509,
0244-KANNAMWAR NAGAR - 17,2,0.00014751,
0032-TARALE-01,9,0.00066381,
0372-GADMUDSHINGI 09,5,0.00036879,
0081-NEJ 03,8,0.00059006,
0136-KILE MACHINDRA GAD 02,9,0.00066381,
0098-RAJPUTWADI 01,3,0.00022127,
0139-INDIRA NAGAR -02,6,0.00044254,
0232-KOROCHI 16,4,0.00029503,
0324-ANANDWADI - 17,1,0.00007376,
0257-SAKHARALE-10,10,0.00073757,
0141-100-FUTI ROAD-03,7,0.0005163,
0297-BUWAPADA 16,4,0.00029503,
0310-BUWAPADA - 17,2,0.00014751,
0064-RETHARE BU 05,3,0.00022127,
0163-KHIRWA-B,4,0.00029503,
0126-KASHIPURAM A,3,0.00022127,
0016-KURLAP-01,1,0.00007376,
0178-PRABUDDHA TOWER-03,6,0.00044254,
0313-YELUR-03,4,0.00029503,
0227-SAJANI 04,3,0.00022127,
0321-SHASTRI NAGAR,1,0.00007376,
0262-BHABARU -C,1,0.00007376,
0524-VIRANA MUVADA-2,1,0.00007376,
0411-NANDGAM-2,1,0.00007376,
0468-CHUNILAL MANSUKHLAL NI CHALI,1,0.00007376,
0403-SN AJMERI MASJID-26,9,0.00066381,
0376-ASARA NAGAR 05,9,0.00066381,
